LZR,Lizard Island,Queensland, Australia,Lizard Island,
LZU,LaGrange,Georgia, United States,LaGrange,
LZY,Nyingchi(Linzhi),Tibet, China,Nyingchi(Linzhi),
MAA,Chennai,Tamil Nadu, India,Chennai,
MAB,Marabá,Pará, Brazil,Maraba,
MAC,Macon,Georgia, United States,Macon,
MAD,Madrid, Spain,,Madrid,
MAE,Madera,California, United States,Madera,
MAF,Midland,Texas, United States,Midland,
MAG,Madang,Papua New Guinea,,Madang,
MAH,Menorca,Balearic Islands, Spain,Menorca,
MAI,Mangochi,Malawi,,Mangochi,
MAJ,Majuro,Marshall Islands,,Majuro,
MAK,Malakal,South Sudan,,Malakal,
MAL,Mangole Island,Indonesia,,Mangole Island,
MAM,Matamoros,Tamaulipas, Mexico,Matamoros,
MAN,Manchester,England, United Kingdom,Manchester,
MAO,Manaus,Amazonas, Brazil,Manaus,
MAP,Mamai,Papua New Guinea,,Mamai,
MAQ,Mae Sot,Thailand,,Mae Sot,
MAR,Maracaibo,Venezuela,,Maracaibo,
MAS,Manus Island,Papua New Guinea,,Manus Island,
MAT,Matadi,Democratic Republic of the Congo,,Matadi,
MAU,Maupiti,Leeward Islands,French Polynesia,Maupiti,
MAV,Taroa Island,Maloelap Atoll,Marshall Islands,Taroa Island,
MAW,Malden,Missouri, United States,Malden,
MAX,Matam,Senegal,,Matam,
MAY,Mangrove Cay,Andros Island,Bahamas,Mangrove Cay,
MAZ,Mayagüez,Puerto Rico, United States,Mayaguez,
MBA,Mombasa,Kenya,,Mombasa,
MBB,Marble Bar,Western Australia, Australia,Marble Bar,
MBC,Mbigou,Gabon,,Mbigou,
MBD,Mmabatho,South Africa,,Mmabatho,
MBE,Monbetsu, Hokkaido,Hokkaido,Monbetsu,
MBF,Mount Buffalo,Victoria, Australia,Mount Buffalo,
MBG,Mobridge,South Dakota, United States,Mobridge,
MBH,Maryborough,Queensland, Australia,Maryborough,
MBI,Mbeya,Tanzania,,Mbeya,
MBJ,Montego Bay,Jamaica,,Montego Bay,
MBK,Matupá,Mato Grosso, Brazil,Matupa,
MBL,Manistee,Michigan, United States,Manistee,
MBM,Mkambati,South Africa,,Mkambati,
MBN,Mount Barnett,Western Australia, Australia,Mount Barnett,
MBO,Mamburao,Philippines,,Mamburao,
MBP,Moyobamba,Peru,,Moyobamba,
MBQ,Mbarara,Uganda,,Mbarara,
MBR,M'Bout,Mauritania,,M'Bout,
MBS,Saginaw/Midland/Bay City,Michigan, United States,Saginaw/Midland/Bay City,
MBT,Masbate,Philippines,,Masbate,
MBU,Mbambanakira,Solomon Islands,,Mbambanakira,
MBV,Masa,Papua New Guinea,,Masa,
MBW,Melbourne,Victoria, Australia,Melbourne,
MBX,Maribor,Slovenia,,Maribor,
MBY,Moberly,Missouri, United States,Moberly,
MBZ,Maués,Amazonas, Brazil,Maues,
MCA,Macenta,Guinea,,Macenta,
MCO,Orlando,Florida, United States,Orlando,
MCP,Macapá,Amapá, Brazil,Macapa,
MCQ,Miskolc,Hungary,,Miskolc,
MCS,Monte Caseros,Corrientes, Argentina,Monte Caseros,
MCT,Muscat,Oman,,Muscat,
MCU,Montluçon,Auvergne, France,Montlucon,
MCV,McArthur River,Northern Territory, Australia,McArthur River,
MCW,Mason City,Iowa, United States,Mason City,
MCX,Makhachkala,Dagestan, Russia,Makhachkala,
MCY,Sunshine Coast,Queensland, Australia,Sunshine Coast,
MCZ,Maceió,Alagoas, Brazil,Maceio,
MDB,Melinda,Belize,,Melinda,
MDC,Manado,Indonesia,,Manado,
MDD,Midland,Texas, United States,Midland,
MDE,Medellín,Colombia,,Medellin,
MDF,Medford,Wisconsin, United States,Medford,
MDG,Mudanjiang,Heilongjiang, China,Mudanjiang,
MDH,Carbondale/Murphysboro,Illinois, United States,Carbondale/Murphysboro,
MDI,Makurdi,Nigeria,,Makurdi,
MDJ,Madras,Oregon, United States,Madras,
MDK,Mbandaka,Democratic Republic of the Congo,,Mbandaka,
MDL,Mandalay,Myanmar,,Mandalay,
MDM,Munduku,Papua New Guinea,,Munduku,
MDN,Madison,Indiana, United States,Madison,
MDO,Middleton Island,Alaska, United States,Middleton Island,
MDP,Mindiptana,Indonesia,,Mindiptana,
MDQ,Mar del Plata,Buenos Aires, Argentina,Mar del Plata,
MDS,Middle Caicos,British Overseas TerritoryofTurks and Caicos Islands,,Middle Caicos,
MDT,Harrisburg,Pennsylvania, United States,Harrisburg,
MDU,Mendi,Papua New Guinea,,Mendi,
MDV,Médouneu,Gabon,,Medouneu,
MDW,Chicago,Illinois, United States,Chicago,
MDX,Mercedes,Corrientes, Argentina,Mercedes,
MDY,Sand Island,Midway Atoll, United States,Sand Island,
MDZ,Mendoza,Mendoza, Argentina,Mendoza,
MEA,Macaé,Rio de Janeiro, Brazil,Macae,
MEB,Melbourne,Victoria, Australia,Melbourne,
MEC,Manta,Ecuador,,Manta,
MED,Medina,Saudi Arabia,,Medina,
MEE,Maré,Loyalty Islands,New Caledonia,Mare,
MEF,Melfi,Chad,,Melfi,
MEG,Malanje,Angola,,Malanje,
MEH,Mehamn,Norway,,Mehamn,
MEI,Meridian,Mississippi, United States,Meridian,
MEJ,Meadville,Pennsylvania, United States,Meadville,
MEK,Meknes,Morocco,,Meknes,
MEL,Melbourne,Victoria, Australia,Melbourne,
MEM,Memphis,Tennessee, United States,Memphis,
MEN,Mende,Languedoc-Roussillon, France,Mende,
MEO,Manteo,North Carolina, United States,Manteo,
MEP,Mersing,Johor, Malaysia,Mersing,
MEQ,Meulaboh,Indonesia,,Meulaboh,
MER,Merced,California, United States,Merced,
MES,Medan,Indonesia,,Medan,
MET,Moreton,Queensland, Australia,Moreton,
MEU,Monte Dourado,Pará, Brazil,Monte Dourado,
MEV,Minden,Nevada, United States,Minden,
MEW,Mweka,Democratic Republic of the Congo,,Mweka,
MEX,Mexico City, Mexico,,Mexico City,
MEY,Meghauli,Nepal,,Meghauli,
MEZ,Messina,South Africa,,Messina,
MFA,Mafia Island,Tanzania,,Mafia Island,
MFB,Monfort,Colombia,,Monfort,
MFC,Mafeteng,Lesotho,,Mafeteng,
MFD,Mansfield,Ohio, United States,Mansfield,
MFE,McAllen,Texas, United States,McAllen,
MFF,Moanda,Gabon,,Moanda,
MFG,Muzaffarabad,Pakistan,,Muzaffarabad,
MFH,Mesquite,Nevada, United States,Mesquite,
MFI,Marshfield,Wisconsin, United States,Marshfield,
MFJ,Moala Island,Fiji,,Moala Island,
MFK,Beigan,Taiwan,,Beigan,
MFL,Wandovale,Queensland, Australia,Wandovale,
MFM,Macau,,,Macau,
MFN,Milford Sound,New Zealand,,Milford Sound,
MFO,Manguna,Papua New Guinea,,Manguna,
MFP,Manners Creek Station,Northern Territory, Australia,Manners Creek Station,
MFQ,Maradi,Niger,,Maradi,
MFR,Medford,Oregon, United States,Medford,
MFS,Miraflores,Colombia,,Miraflores,
MFU,Mfuwe,Zambia,,Mfuwe,
MFV,Melfa,Virginia, United States,Melfa,
MFW,Magaruque Island,Mozambique,,Magaruque Island,
MFX,Méribel,Rhône-Alpes, France,Meribel,
MFY,Mayfa'ah,Yemen,,Mayfa'ah,
MFZ,Meselia,Papua New Guinea,,Meselia,
MGA,Managua,Nicaragua,,Managua,
MGB,Mount Gambier,South Australia, Australia,Mount Gambier,
MGC,Michigan City,Indiana, United States,Michigan City,
MGD,Magdalena,Bolivia,,Magdalena,
MGE,Marietta,Georgia, United States,Marietta,
MGF,Maringá,Paraná, Brazil,Maringa,
MGG,Margarima,Papua New Guinea,,Margarima,
MGH,Margate,South Africa,,Margate,
MGI,Matagorda Island,Texas, United States,Matagorda Island,
MGJ,Montgomery,New York, United States,Montgomery,
MGK,Mong Ton,Myanmar,,Mong Ton,
MGL,Mönchengladbach,North Rhine-Westphalia, Germany,Monchengladbach,
MGM,Montgomery,Alabama, United States,Montgomery,
MGN,Magangué,Colombia,,Magangue,
MGO,Manega,Gabon,,Manega,
MGP,Manga,Papua New Guinea,,Manga,
MGQ,Mogadishu,Somalia,,Mogadishu,
MGR,Moultrie,Georgia, United States,Moultrie,
MGS,Mangaia Island,Cook Islands,,Mangaia Island,
MGT,Milingimbi Island,Northern Territory, Australia,Milingimbi Island,
MGU,Manaung,Myanmar,,Manaung,
MGV,Margaret River Station,Western Australia, Australia,Margaret River Station,
MGW,Morgantown,West Virginia, United States,Morgantown,
MGX,Moabi,Gabon,,Moabi,
MGY,Dayton,Ohio, United States,Dayton,
MGZ,Myeik,Myanmar,,Myeik,
MHA,Mahdia,Guyana,,Mahdia,
MHC,Castro,Chile,,Castro,
MHD,Mashhad,Iran,,Mashhad,
MHE,Mitchell,South Dakota, United States,Mitchell,
MHF,Morichal,Colombia,,Morichal,
MHG,Mannheim,Baden-Württemberg, Germany,Mannheim,
MHH,Marsh Harbour,Abaco Islands,Bahamas,Marsh Harbour,
MHI,Moucha Island,Djibouti,,Moucha Island,
MHK,Manhattan,Kansas, United States,Manhattan,
MHL,Marshall,Missouri, United States,Marshall,
MHN,Mullen,Nebraska, United States,Mullen,
MHO,Mount House Station,Western Australia, Australia,Mount House Station,
MHP,Minsk,Belarus,,Minsk,
MHQ,Mariehamn,Aland Islands,Finland,Mariehamn,
MHR,Sacramento,California, United States,Sacramento,
MHS,Mount Shasta,California, United States,Mount Shasta,
MHT,Manchester,New Hampshire, United States,Manchester,
MHU,Mount Hotham,Victoria, Australia,Mount Hotham,
MHV,Mojave,California, United States,Mojave,
MHW,Monteagudo,Bolivia,,Monteagudo,
MHX,Manihiki,Cook Islands,,Manihiki,
MHY,Morehead,Papua New Guinea,,Morehead,
MHZ,Mildenhall,England, United Kingdom,Mildenhall,
MIA,Miami,Florida, United States,Miami,
MIB,Minot,North Dakota, United States,Minot,
MIC,Minneapolis/St Paul,Minnesota, United States,Minneapolis/St Paul,
MID,Mérida,Yucatán, Mexico,Merida,
MIE,Muncie,Indiana, United States,Muncie,
MIF,Monahans,Texas, United States,Monahans,
MIG,Mianyang,Sichuan, China,Mianyang,
MIH,Mitchell Plateau,Western Australia, Australia,Mitchell Plateau,
MII,Marília,São Paulo, Brazil,Marilia,
MIJ,Mili Atoll,Marshall Islands,,Mili Atoll,
MIK,Mikkeli,Finland,,Mikkeli,
MIL,Milan,Lombardy, Italy,Milan,
MIM,Merimbula,New South Wales, Australia,Merimbula,
MIN,Minnipa,South Australia, Australia,Minnipa,
MIO,Miami,Oklahoma, United States,Miami,
MIP,Mitzpe Ramon,Israel,,Mitzpe Ramon,
MIQ,Omaha,Nebraska, United States,Omaha,
MIR,Monastir,Tunisia,,Monastir,
MIS,Misima Island,Papua New Guinea,,Misima Island,
MIT,Shafter,California, United States,Shafter,
MIU,Maiduguri,Nigeria,,Maiduguri,
MIV,Millville,New Jersey, United States,Millville,
MIW,Marshalltown,Iowa, United States,Marshalltown,
MIX,Mirití-Paraná,Colombia,,Miriti-Parana,
MIY,Mittiebah Station,Northern Territory, Australia,Mittiebah Station,
MIZ,Mainoru,Northern Territory, Australia,Mainoru,
MJA,Manja,Madagascar,,Manja,
MJB,Mejit Island,Marshall Islands,,Mejit Island,
MJC,Man,Ivory Coast,,Man,
MJD,Mohenjo-daro,Pakistan,,Mohenjo-daro,
MJE,Majkin,Marshall Islands,,Majkin,
MJF,Mosjøen,Norway,,Mosjoen,
MJI,Tripoli,Libya,,Tripoli,
MJJ,Moki,Papua New Guinea,,Moki,
MJK,Monkey Mia,Western Australia, Australia,Monkey Mia,
MJL,Mouila,Gabon,,Mouila,
MJM,Mbuji-Mayi,Democratic Republic of the Congo,,Mbuji-Mayi,
MJN,Mahajanga,Madagascar,,Mahajanga,
MJO,Mount Etjo,Namibia,,Mount Etjo,
MJP,Manjimup,Western Australia, Australia,Manjimup,
MJQ,Jackson,Minnesota, United States,Jackson,
MJR,Miramar,Buenos Aires, Argentina,Miramar,
MJS,Maganja da Costa,Mozambique,,Maganja da Costa,
MJT,Mytilene,Lesbos,Greece,Mytilene,
MJU,Mamuju,Indonesia,,Mamuju,
MJV,Murcia,Region of Murcia, Spain,Murcia,
MJW,Mahenye,Zimbabwe,,Mahenye,
MJX,Toms River,New Jersey, United States,Toms River,
MJZ,Mirny,Yakutia, Russia,Mirny,
MKB,Mékambo,Gabon,,Mekambo,
MKC,Kansas City,Missouri, United States,Kansas City,
MKE,Milwaukee,Wisconsin, United States,Milwaukee,
MKF,Miangas,Indonesia,,Miangas,
MKG,Muskegon,Michigan, United States,Muskegon,
MKH,Mokhotlong,Lesotho,,Mokhotlong,
MKI,Obo,Central African Republic,,Obo,
MKJ,Makoua,Republic of the Congo,,Makoua,
MKK,Kaunakakai,Hawaii, United States,Kaunakakai,
MKL,Jackson,Tennessee, United States,Jackson,
MKM,Mukah,Sarawak, Malaysia,Mukah,
MKN,Malekolon,Papua New Guinea,,Malekolon,
MKO,Muskogee,Oklahoma, United States,Muskogee,
MKP,Makemo,French Polynesia,,Makemo,
MKQ,Merauke,Indonesia,,Merauke,
MKR,Meekatharra,Western Australia, Australia,Meekatharra,
MKS,Mekane Selam,Ethiopia,,Mekane Selam,
MKT,Mankato,Minnesota, United States,Mankato,
MKU,Makokou,Gabon,,Makokou,
MKV,Mount Cavenagh,Northern Territory, Australia,Mount Cavenagh,
MKW,Manokwari,Indonesia,,Manokwari,
MKY,Mackay,Queensland, Australia,Mackay,
MKZ,Malacca City,Malacca, Malaysia,Malacca City,
MLA,Luqa,Malta,,Luqa,
MLB,Melbourne,Florida, United States,Melbourne,
MLC,McAlester,Oklahoma, United States,McAlester,
MLD,Malad City,Idaho, United States,Malad City,
MLE,Malé,Maldives,,Male,
MLF,Milford,Utah, United States,Milford,
MLG,Malang,Indonesia,,Malang,
MLH,Mulhouse,Alsace, France,Mulhouse,
MLI,Moline,Illinois, United States,Moline,
MLJ,Milledgeville,Georgia, United States,Milledgeville,
MLK,Malta,Montana, United States,Malta,
MLL,Marshall,Alaska, United States,Marshall,
MLM,Morelia,Michoacán, Mexico,Morelia,
MLN,Melilla, Spain,,Melilla,
MLO,Milos,Greece,,Milos,
MLP,Malabang,Philippines,,Malabang,
MLQ,Malalaua,Papua New Guinea,,Malalaua,
MLR,Millicent,South Australia, Australia,Millicent,
MLS,Miles City,Montana, United States,Miles City,
MLT,Millinocket,Maine, United States,Millinocket,
MLU,Monroe,Louisiana, United States,Monroe,
MLV,Merluna,Queensland, Australia,Merluna,
MLW,Monrovia,Liberia,,Monrovia,
MLX,Malatya,Turkey,,Malatya,
MLY,Manley Hot Springs,Alaska, United States,Manley Hot Springs,
MLZ,Melo,Uruguay,,Melo,
MMA,Malmö,Sweden,,Malmo,
MMC,Ciudad Mante,Tamaulipas, Mexico,Ciudad Mante,
MME,Teesside,England, United Kingdom,Teesside,
MMF,Mamfe,Cameroon,,Mamfe,
MMG,Mount Magnet,Western Australia, Australia,Mount Magnet,
MMH,Mammoth Lakes,California, United States,Mammoth Lakes,
MMI,Athens,Tennessee, United States,Athens,
MMJ,Matsumoto,Honshu, Japan,Matsumoto,
MMK,Murmansk,Murmansk Oblast, Russia,Murmansk,
MML,Marshall,Minnesota, United States,Marshall,
MMM,Middlemount,Queensland, Australia,Middlemount,
MMN,Stow,Massachusetts, United States,Stow,
MMO,Maio Island,Cape Verde,,Maio Island,
MMP,Mompós(Mompóx),Colombia,,Mompos(Mompox),
MMQ,Mbala,Zambia,,Mbala,
MMS,Marks,Mississippi, United States,Marks,
MMT,Columbia,South Carolina, United States,Columbia,
MMU,Morristown,New Jersey, United States,Morristown,
MMV,Mal Island,Papua New Guinea,,Mal Island,
MMW,Moma,Mozambique,,Moma,
MMX,Malmö,Sweden,,Malmo,
MMY,Miyakojima,Miyako Islands, Japan,Miyakojima,
MMZ,Maymana,Afghanistan,,Maymana,
MNA,Melonguane,Indonesia,,Melonguane,
MNB,Moanda,Democratic Republic of the Congo,,Moanda,
MNC,Nacala,Mozambique,,Nacala,
MND,Medina,Colombia,,Medina,
MNE,Mungeranie,South Australia, Australia,Mungeranie,
MNF,Mana Island,Fiji,,Mana Island,
MNG,Maningrida,Northern Territory, Australia,Maningrida,
MNH,Al-Musannah,Oman,,Al-Musannah,
MNI,Montserrat,,,Montserrat,
MNJ,Mananjary,Madagascar,,Mananjary,
MNK,Maiana,Kiribati,,Maiana,
MNL,Manila,Philippines,,Manila,
MNM,Menominee,Michigan, United States,Menominee,
MNN,Marion,Ohio, United States,Marion,
MNO,Manono,Democratic Republic of the Congo,,Manono,
MNP,Maron Island,Papua New Guinea,,Maron Island,
MNQ,Monto,Queensland, Australia,Monto,
MNR,Mongu,Zambia,,Mongu,
MNS,Mansa,Zambia,,Mansa,
MNT,Minto,Alaska, United States,Minto,
MNU,Mawlamyine(Mawlamyaing),Myanmar,,Mawlamyine(Mawlamyaing),
MNV,Mount Valley,Northern Territory, Australia,Mount Valley,
MNW,MacDonald Downs,Northern Territory, Australia,MacDonald Downs,
MNX,Manicoré,Amazonas, Brazil,Manicore,
MNY,Mono Island,Treasury Islands,Solomon Islands,Mono Island,
MNZ,Manassas,Virginia, United States,Manassas,
MOA,Moa,Cuba,,Moa,
MOB,Mobile,Alabama, United States,Mobile,
MOC,Montes Claros,Minas Gerais, Brazil,Montes Claros,
MOD,Modesto,California, United States,Modesto,
MOE,Momeik,Myanmar,,Momeik,
MOF,Maumere,Indonesia,,Maumere,
MOG,Mong Hsat(Monghsat),Myanmar,,Mong Hsat(Monghsat),
MOH,Morowali,Indonesia,,Morowali,
MOI,Mitiaro Island,Cook Islands,,Mitiaro Island,
MOJ,Moengo,Suriname,,Moengo,
MOL,Molde,Norway,,Molde,
MOM,Moudjeria,Mauritania,,Moudjeria,
MON,Mount Cook,New Zealand,,Mount Cook,
MOO,Moomba,South Australia, Australia,Moomba,
MOP,Mount Pleasant,Michigan, United States,Mount Pleasant,
MOQ,Morondava,Madagascar,,Morondava,
MOR,Morristown,Tennessee, United States,Morristown,
MOS,Elim,Alaska, United States,Elim,
MOT,Minot,North Dakota, United States,Minot,
MOU,Mountain Village,Alaska, United States,Mountain Village,
MOV,Moranbah,Queensland, Australia,Moranbah,
MOW,Moscow, Russia,,Moscow,
MOX,Morris,Minnesota, United States,Morris,
MOY,Monterrey,Colombia,,Monterrey,
MOZ,Mo'orea,Windward Islands,French Polynesia,Mo'orea,
MPA,Katima Mulilo,Namibia,,Katima Mulilo,
MPB,Miami,Florida, United States,Miami,
MPC,Muko-Muko,Indonesia,,Muko-Muko,
MPD,Mirpur Khas,Pakistan,,Mirpur Khas,
MPF,Mapoda,Papua New Guinea,,Mapoda,
MPG,Makini,Papua New Guinea,,Makini,
MPH,Malay,Philippines,,Malay,
MPI,Mamitupo,Panama,,Mamitupo,
MPJ,Morrilton,Arkansas, United States,Morrilton,
MPL,Montpellier,Languedoc-Roussillon, France,Montpellier,
MPM,Maputo,Mozambique,,Maputo,
MPN,Falkland Islands,,,Falkland Islands,
MPO,Mount Pocono,Pennsylvania, United States,Mount Pocono,
MPP,Mulatupo,Panama,,Mulatupo,
MPQ,Ma'an,Jordan,,Ma'an,
MPR,McPherson,Kansas, United States,McPherson,
MPS,Mount Pleasant,Texas, United States,Mount Pleasant,
MPT,Maliana,East Timor,,Maliana,
MPU,Mabua,Papua New Guinea,,Mabua,
MPV,Barre/Montpelier,Vermont, United States,Barre/Montpelier,
MPW,Mariupol,Ukraine,,Mariupol,
MPX,Miyanmin,Papua New Guinea,,Miyanmin,
MPY,Maripasoula,French Guiana,,Maripasoula,
MPZ,Mount Pleasant,Iowa, United States,Mount Pleasant,
MQA,Mandora Station,Western Australia, Australia,Mandora Station,
MQB,Macomb,Illinois, United States,Macomb,
MQC,Miquelon,Saint Pierre and Miquelon,,Miquelon,
MQD,Maquinchao,Río Negro, Argentina,Maquinchao,
MQE,Marqua,Northern Territory, Australia,Marqua,
MQF,Magnitogorsk,Chelyabinsk Oblast5, Russia,Magnitogorsk,
MQG,Midgard,Namibia,,Midgard,
MQH,Minaçu,Goiás, Brazil,Minacu,
MQJ,Khonuu,Yakutia, Russia,Khonuu,
MQK,San Matías,Bolivia,,San Matias,
MQL,Mildura,Victoria, Australia,Mildura,
MQM,Mardin,Turkey,,Mardin,
MQN,Mo i Rana,Norway,,Mo i Rana,
MQO,Malam,Papua New Guinea,,Malam,
MQP,Mbombela,South Africa,,Mbombela,
MQQ,Moundou,Chad,,Moundou,
MQR,Mosquera,Colombia,,Mosquera,
MQS,Mustique Island,Saint Vincent and the Grenadines,,Mustique Island,
MQT,Marquette,Michigan, United States,Marquette,
MQU,Mariquita,Colombia,,Mariquita,
MQV,Mostaganem,Algeria,,Mostaganem,
MQW,McRae,Georgia, United States,McRae,
MQX,Mek'ele(Mekelle),Ethiopia,,Mek'ele(Mekelle),
MQY,Smyrna,Tennessee, United States,Smyrna,
MQZ,Margaret River,Western Australia, Australia,Margaret River,
MRA,Misrata,Libya,,Misrata,
MRB,Martinsburg,West Virginia, United States,Martinsburg,
MRC,Columbia/Mount Pleasant,Tennessee, United States,Columbia/Mount Pleasant,
MRD,Mérida,Venezuela,,Merida,
MRE,Maasai Mara,Kenya,,Maasai Mara,
MRF,Marfa,Texas, United States,Marfa,
MRG,Mareeba,Queensland, Australia,Mareeba,
MRH,May River,Papua New Guinea,,May River,
MRI,Anchorage,Alaska, United States,Anchorage,
MRJ,Marcala,Honduras,,Marcala,
MRK,Marco Island,Florida, United States,Marco Island,
MRL,Miners Lake,Queensland, Australia,Miners Lake,
MRM,Manari,Papua New Guinea,,Manari,
MRN,Morganton,North Carolina, United States,Morganton,
MRO,Masterton,New Zealand,,Masterton,
MRP,Marla,South Australia, Australia,Marla,
MRQ,Marinduque Island,Philippines,,Marinduque Island,
MRR,Macará,Ecuador,,Macara,
MRS,Marseille,Provence-Alpes-Côte d'Azur, France,Marseille,
MRT,Moroak,Northern Territory, Australia,Moroak,
MRU,Plaine Magnien,Mauritius,,Plaine Magnien,
MRV,Mineralnye Vody,Stavropol Krai, Russia,Mineralnye Vody,
MRW,Maribo,Denmark,,Maribo,
MRX,Bandar-e Mahshahr,Iran,,Bandar-e Mahshahr,
MRY,Monterey,California, United States,Monterey,
MRZ,Moree,New South Wales, Australia,Moree,
MSA,Muskrat Dam,Ontario, Canada,Muskrat Dam,
MSC,Phoenix,Arizona, United States,Phoenix,
MSD,Mount Pleasant,Utah, United States,Mount Pleasant,
MSE,Manston,England, United Kingdom,Manston,
MSF,Mount Swan,Northern Territory, Australia,Mount Swan,
MSG,Matsaile,Lesotho,,Matsaile,
MSH,Masirah Island,Oman,,Masirah Island,
MSI,Masalembo,Indonesia,,Masalembo,
MSJ,Misawa,Honshu, Japan,Misawa,
MSL,Muscle Shoals/Florence,Alabama, United States,Muscle Shoals/Florence,
MSM,Masi-Manimba,Democratic Republic of the Congo,,Masi-Manimba,
MSN,Madison,Wisconsin, United States,Madison,
MSO,Missoula,Montana, United States,Missoula,
MSP,Minneapolis/St Paul,Minnesota, United States,Minneapolis/St Paul,
MSQ,Minsk,Belarus,,Minsk,
MSS,Massena,New York, United States,Massena,
MST,Maastricht,Netherlands,,Maastricht,
MSU,Maseru,Lesotho,,Maseru,
MSV,Monticello,New York, United States,Monticello,
MSW,Massawa,Eritrea,,Massawa,
MSX,Mossendjo,Republic of the Congo,,Mossendjo,
MSY,New Orleans,Louisiana, United States,New Orleans,
MSZ,Moçâmedes,Angola,,Mocamedes,
MTA,Matamata,New Zealand,,Matamata,
MTB,Montelíbano,Colombia,,Montelibano,
MTC,Mount Clemens,Michigan, United States,Mount Clemens,
MTD,Mount Sandford Station,Northern Territory, Australia,Mount Sandford Station,
MTE,Monte Alegre,Pará, Brazil,Monte Alegre,
MTF,Mizan Teferi,Ethiopia,,Mizan Teferi,
MTG,Mato Grosso, Brazil,,Mato Grosso,
MTH,Marathon,Florida, United States,Marathon,
MTI,Mosteiros,Cape Verde,,Mosteiros,
MTJ,Montrose,Colorado, United States,Montrose,
MTK,Makin Island(Butaritari),Kiribati,,Makin Island(Butaritari),
MTL,Maitland,New South Wales, Australia,Maitland,
MTM,Metlakatla,Alaska, United States,Metlakatla,
MTN,Baltimore,Maryland, United States,Baltimore,
MTO,Mattoon/Charleston,Illinois, United States,Mattoon/Charleston,
MTP,Montauk,New York, United States,Montauk,
MTQ,Mitchell,Queensland, Australia,Mitchell,
MTR,Montería,Colombia,,Monteria,
MTS,Manzini,Swaziland,,Manzini,
MTT,Minatitlán,Veracruz, Mexico,Minatitlan,
MTU,Montepuez,Mozambique,,Montepuez,
MTV,Mota Lava,Vanuatu,,Mota Lava,
MTW,Manitowoc,Wisconsin, United States,Manitowoc,
MTX,Fairbanks,Alaska, United States,Fairbanks,
MTY,Monterrey,Nuevo León, Mexico,Monterrey,
MTZ,Masada,Israel,,Masada,
MUA,Munda,New Georgia,Solomon Islands,Munda,
MUB,Maun,Botswana,,Maun,
MUC,Munich,Bavaria, Germany,Munich,
MUD,Mueda,Mozambique,,Mueda,
MUE,Kamuela,Hawaii, United States,Kamuela,
MUF,Muting,Indonesia,,Muting,
MUG,Mulegé,Baja California Sur, Mexico,Mulege,
MUH,Mersa Matruh,Egypt,,Mersa Matruh,
MUI,Fort Indiantown Gap,Pennsylvania, United States,Fort Indiantown Gap,
MUJ,Mui,Ethiopia,,Mui,
MUK,Mauke Island,Cook Islands,,Mauke Island,
MUL,Moultrie,Georgia, United States,Moultrie,
MUN,Maturín,Venezuela,,Maturin,
MUO,Mountain Home,Idaho, United States,Mountain Home,
MUP,Mulga Park,Northern Territory, Australia,Mulga Park,
MUQ,Muccan Station,Western Australia, Australia,Muccan Station,
MUR,Marudi,Sarawak, Malaysia,Marudi,
MUS,Minami-Tori-shima, Japan,,Minami-Tori-shima,
MUT,Muscatine,Iowa, United States,Muscatine,
MUW,Ghriss,Algeria,,Ghriss,
MUX,Multan,Pakistan,,Multan,
MUY,Mouyondzi,Republic of the Congo,,Mouyondzi,
MUZ,Musoma,Tanzania,,Musoma,
MVA,Mývatn,Iceland,,Myvatn,
MVB,Franceville,Gabon,,Franceville,
MVC,Monroeville,Alabama, United States,Monroeville,
MVD,Montevideo,Uruguay,,Montevideo,
MVE,Montevideo,Minnesota, United States,Montevideo,
MVF,Mossoró,Rio Grande do Norte, Brazil,Mossoro,
MVG,Mevang,Gabon,,Mevang,
MVH,Macksville,New South Wales, Australia,Macksville,
MVI,Manetai,Papua New Guinea,,Manetai,
MVK,Mulka,South Australia, Australia,Mulka,
MVL,Morrisville/Stowe,Vermont, United States,Morrisville/Stowe,
MVM,Kayenta,Arizona, United States,Kayenta,
MVN,Mount Vernon,Illinois, United States,Mount Vernon,
MVO,Mongo,Chad,,Mongo,
MVP,Mitú,Colombia,,Mitu,
MVQ,Mogilev,Belarus,,Mogilev,
MVR,Maroua,Cameroon,,Maroua,
MVS,Mucuri,Bahia, Brazil,Mucuri,
MVT,Mataiva,Tuamotus,French Polynesia,Mataiva,
MVU,Musgrave,Queensland, Australia,Musgrave,
MVV,Megève,Rhône-Alpes, France,Megeve,
MVW,Burlington/Mount Vernon,Washington, United States,Burlington/Mount Vernon,
MVX,Minvoul,Gabon,,Minvoul,
MVY,Vineyard Haven,Massachusetts, United States,Vineyard Haven,
MVZ,Masvingo,Zimbabwe,,Masvingo,
MWA,Marion,Illinois, United States,Marion,
MWB,Morawa,Western Australia, Australia,Morawa,
MWC,Milwaukee,Wisconsin, United States,Milwaukee,
MWD,Mianwali,Pakistan,,Mianwali,
MWE,Merowe,Sudan,,Merowe,
MWF,Maewo,Vanuatu,,Maewo,
MWG,Marawaka,Papua New Guinea,,Marawaka,
MWH,Moses Lake,Washington, United States,Moses Lake,
MWI,Maramuni,Papua New Guinea,,Maramuni,
MWJ,Matthew's Ridge,Guyana,,Matthew's Ridge,
MWK,Matak,Indonesia,,Matak,
